particle concentration [ppm],q [1/A],mean intensity [a.u.],standard deviation of intensity [a.u.],background-subtracted intensity [a.u.],standard deviation of background-subtracted intensity [a.u.]
0.0,0.0026931878815464843,2588.0960000000005,31.547136541971533,0.0,31.547136541971533
0.0,0.002872733725812116,2158.572,20.09976756083033,0.0,20.09976756083033
0.0,0.0030522795672704973,1797.936666666667,10.861107473652206,0.0,10.861107473652206
0.0,0.003231825405746172,1517.983870967742,13.065935804967248,0.0,13.065935804967248
0.0,0.00341137124106369,1296.3612903225808,10.171411242264803,0.0,10.171411242264803
0.0,0.003590917073047598,1132.4375,8.285635631174783,0.0,8.285635631174783
0.0,0.0037704629015224414,983.8405405405405,8.205135219708922,0.0,8.205135219708922
0.0,0.003950008726312768,870.3142857142857,4.823750763512657,0.0,4.823750763512657
0.0,0.004129554547243124,772.4305555555555,4.99595901520415,0.0,4.99595901520415
0.0,0.004309100364138058,687.8769230769229,4.879181983817792,0.0,4.879181983817792
0.0,0.004488646176822116,615.0093023255814,7.745116223202604,0.0,7.745116223202604
0.0,0.004668191985119845,547.1888888888889,7.635390309946673,0.0,7.635390309946673
0.0,0.004847737788855794,499.1166666666667,6.48344700248284,0.0,6.48344700248284
0.0,0.005027283587854505,454.88372093023264,4.737649395586541,0.0,4.737649395586541
0.0,0.005206829381940531,409.504081632653,5.776109076906432,0.0,5.776109076906432
0.0,0.005386375170938414,374.5708333333333,3.1600836179171434,0.0,3.1600836179171434
0.0,0.0055659209546727074,342.78113207547176,3.387895442396465,0.0,3.387895442396465
0.0,0.005745466732967952,317.6647058823529,2.4498734755371117,0.0,2.4498734755371117
0.0,0.005925012505648698,293.35660377358494,2.7634579593675186,0.0,2.7634579593675186
0.0,0.006104558272539492,270.51724137931035,3.402192061077947,0.0,3.402192061077947
0.0,0.006284104033464883,252.86037735849055,3.0977224950696987,0.0,3.0977224950696987
0.0,0.006463649788249417,235.16610169491528,2.4960848400764104,0.0,2.4960848400764104
0.0,0.00664319553671764,221.4103448275862,1.9827706146558888,0.0,1.9827706146558888
0.0,0.006822741278694103,206.1507692307692,1.9076401978021524,0.0,1.9076401978021524
0.0,0.00700228701400335,192.7777777777778,1.7949987911172312,0.0,1.7949987911172312
0.0,0.007181832742469929,181.46833333333333,2.611368840708211,0.0,2.611368840708211
0.0,0.007361378463918388,170.73333333333332,2.9733620983010156,0.0,2.9733620983010156
0.0,0.007540924178173277,160.78656716417908,3.016329287437849,0.0,3.016329287437849
0.0,0.0077204698850591395,152.37534246575342,2.1833760083353515,0.0,2.1833760083353515
0.0,0.007900015584400526,144.34428571428572,1.7667732608070743,0.0,1.7667732608070743
0.0,0.008079561276021984,137.58115942028985,2.3675717360256776,0.0,2.3675717360256776
0.0,0.008259106959748058,131.256,2.347384738620743,0.0,2.347384738620743
0.0,0.008438652635403299,125.7635135135135,1.7799123631394629,0.0,1.7799123631394629
0.0,0.008618198302812255,120.04303797468356,1.7193787887846492,0.0,1.7193787887846492
0.0,0.008797743961799472,114.44415584415583,1.0626805403562647,0.0,1.0626805403562647
0.0,0.008977289612189498,109.03999999999999,1.243949508873406,0.0,1.243949508873406
0.0,0.009156835253806886,104.18536585365855,0.49053504277826343,0.0,0.49053504277826343
0.0,0.009336380886476174,99.93544303797468,0.875642918519703,0.0,0.875642918519703
0.0,0.009515926510021916,95.86206896551724,0.9752113233121693,0.0,0.9752113233121693
0.0,0.009695472124268665,92.56951219512194,0.9400540759328784,0.0,0.9400540759328784
0.0,0.00987501772904096,89.05999999999999,0.925981398976407,0.0,0.925981398976407
0.0,0.010054563324163353,86.24137931034483,0.9516241826579225,0.0,0.9516241826579225
0.0,0.010234108909460395,83.55054945054947,1.0722082257701149,0.0,1.0722082257701149
0.0,0.01041365448475663,81.0858695652174,1.0779238822986335,0.0,1.0779238822986335
0.0,0.010593200049876609,78.78924731182795,1.276577326481,0.0,1.276577326481
0.0,0.010772745604644876,75.87171717171717,1.251352089881789,0.0,1.251352089881789
0.0,0.010952291148885985,73.71632653061224,1.1467753533076948,0.0,1.1467753533076948
0.0,0.011131836682424486,71.41414141414141,1.0856682943440419,0.0,1.0856682943440419
0.0,0.01131138220508492,69.55049504950496,0.9435929265406822,0.0,0.9435929265406822
0.0,0.01149092771669184,67.82142857142858,1.0475696273344384,0.0,1.0475696273344384
0.0,0.011670473217069797,66.13853211009175,0.8233243434363693,0.0,0.8233243434363693
0.0,0.011850018706043337,64.75742574257426,0.9480708566253736,0.0,0.9480708566253736
0.0,0.012029564183437012,63.14205607476636,1.0894871588016892,0.0,1.0894871588016892
0.0,0.012209109649075364,61.68333333333334,1.0171085729576295,0.0,1.0171085729576295
0.0,0.012388655102782944,60.352380952380955,0.7478101060086024,0.0,0.7478101060086024
0.0,0.012568200544384307,59.02831858407079,0.5863564823121113,0.0,0.5863564823121113
0.0,0.012747745973703997,57.78703703703703,0.6315737957943517,0.0,0.6315737957943517
0.0,0.012927291390566566,56.659504132231405,0.7900480645289699,0.0,0.7900480645289699
0.0,0.01310683679479656,55.48632478632479,0.5557060940019706,0.0,0.5557060940019706
0.0,0.013286382186218531,54.361538461538466,0.48636984755098234,0.0,0.48636984755098234
0.0,0.013465927564657023,53.13666666666667,0.5427322851397761,0.0,0.5427322851397761
0.0,0.0136454729299366,51.901652892561984,0.653827659682333,0.0,0.653827659682333
0.0,0.013825018281881792,51.18800000000001,0.5164091401190093,0.0,0.5164091401190093
0.0,0.014004563620317162,50.3875,0.7318569418489635,0.0,0.7318569418489635
0.0,0.014184108945067258,49.7336,0.6522630144348623,0.0,0.6522630144348623
0.0,0.014363654255956624,48.89618320610687,0.44236888209110414,0.0,0.44236888209110414
0.0,0.014543199552809815,48.029365079365085,0.25958690558512354,0.0,0.25958690558512354
0.0,0.01472274483545138,47.301481481481474,0.3976204944593365,0.0,0.3976204944593365
0.0,0.014902290103705869,46.66456692913386,0.4223761792564784,0.0,0.4223761792564784
0.0,0.015081835357397825,46.0274074074074,0.5650356581001434,0.0,0.5650356581001434
0.0,0.015261380596351811,45.4231884057971,0.5690431652554812,0.0,0.5690431652554812
0.0,0.015440925820392372,44.85547445255475,0.630487947080551,0.0,0.630487947080551
0.0,0.015620471029344052,44.20935251798561,0.42295122500178345,0.0,0.42295122500178345
0.0,0.01580001622303141,43.64772727272728,0.5170447607936026,0.0,0.5170447607936026
0.0,0.015979561401278992,43.080794701986754,0.6647621290471767,0.0,0.6647621290471767
